"extra_hours","raw_extra_pay","extra_pay_with_taper","extra_pay_with_tax","extra_pay_with_taper_tax","extra_pay_wa_baseline_0","extra_pay_wa_baseline_7","extra_pay_wa_baseline_8"
1.81,16.1271,5.967027,10.966428,4.05757836,16.1271,12.821427,7.208127
1.82,16.2162,5.999994,11.027016,4.07999592,16.2162,12.854394,7.241094
1.83,16.3053,6.032961,11.087604,4.10241348,16.3053,12.887361,7.274061
1.84,16.3944,6.065928,11.148192,4.12483104,16.3944,12.920328,7.307028
1.85,16.4835,6.098895,11.20878,4.1472486,16.4835,12.953295,7.339995
1.86,16.5726,6.131862,11.269368,4.16966616,16.5726,12.986262,7.372962
1.87,16.6617,6.164829,11.329956,4.19208372,16.6617,13.019229,7.405929
1.88,16.7508,6.197796,11.390544,4.21450128,16.7508,13.052196,7.438896
1.89,16.8399,6.230763,11.451132,4.23691884,16.8399,13.085163,7.471863
1.9,16.929,6.26373,11.51172,4.2593364,16.929,13.11813,7.50483
1.91,17.0181,6.296697,11.572308,4.28175396,17.0181,13.151097,7.537797
1.92,17.1072,6.329664,11.632896,4.30417152,17.1072,13.184064,7.570764
1.93,17.1963,6.362631,11.693484,4.32658908,17.1963,13.217031,7.60373099999999
1.94,17.2854,6.395598,11.754072,4.34900664,17.2854,13.249998,7.636698
1.95,17.3745,6.428565,11.81466,4.3714242,17.3745,13.282965,7.669665
1.96,17.4636,6.461532,11.875248,4.39384176,17.4636,13.315932,7.702632
1.97,17.5527,6.494499,11.935836,4.41625932,17.5527,13.348899,7.735599
1.98,17.6418,6.527466,11.996424,4.43867688,17.6418,13.381866,7.768566
1.99,17.7309,6.560433,12.057012,4.46109444,17.7309,13.414833,7.801533
2,17.82,6.5934,12.1176,4.483512,17.82,13.4478,7.8345
2.01,17.9091,6.626367,12.178188,4.50592956,17.9091,13.480767,7.867467
2.02,17.9982,6.659334,12.238776,4.52834712,17.9982,13.513734,7.900434
2.03,18.0873,6.692301,12.299364,4.55076468,18.0873,13.546701,7.933401
2.04,18.1764,6.725268,12.359952,4.57318224,18.1764,13.579668,7.966368
2.05,18.2655,6.758235,12.42054,4.5955998,18.2655,13.612635,7.999335
2.06,18.3546,6.791202,12.481128,4.61801736,18.3546,13.645602,8.032302
2.07,18.4437,6.824169,12.541716,4.64043492,18.4437,13.678569,8.065269
2.08,18.5328,6.857136,12.602304,4.66285248,18.5328,13.711536,8.09823599999999
2.09,18.6219,6.890103,12.662892,4.68527004,18.6219,13.744503,8.131203
2.1,18.711,6.92307,12.72348,4.7076876,18.711,13.77747,8.16417
2.11,18.8001,6.956037,12.784068,4.73010516,18.8001,13.810437,8.197137
2.12,18.8892,6.989004,12.844656,4.75252272,18.8892,13.843404,8.230104
2.13,18.9783,7.021971,12.905244,4.77494028,18.9783,13.876371,8.263071
2.14,19.0674,7.054938,12.965832,4.79735784,19.0674,13.909338,8.296038
2.15,19.1565,7.087905,13.02642,4.8197754,19.1565,13.942305,8.329005
2.16,19.2456,7.120872,13.087008,4.84219296,19.2456,13.975272,8.36197200000001
2.17,19.3347,7.153839,13.147596,4.86461052,19.3347,14.008239,8.394939
2.18,19.4238,7.186806,13.208184,4.88702808,19.4238,14.041206,8.427906
2.19,19.5129,7.219773,13.268772,4.90944564,19.5129,14.074173,8.460873
2.2,19.602,7.25274,13.32936,4.9318632,19.602,14.10714,8.49384
2.21,19.6911,7.285707,13.389948,4.95428076,19.6911,14.140107,8.52680699999999
2.22,19.7802,7.318674,13.450536,4.97669832,19.7802,14.173074,8.559774
2.23,19.8693,7.351641,13.511124,4.99911588,19.8693,14.206041,8.592741
2.24,19.9584,7.384608,13.571712,5.02153344,19.9584,14.239008,8.625708
2.25,20.0475,7.417575,13.6323,5.043951,20.0475,14.271975,8.658675
2.26,20.1366,7.450542,13.692888,5.06636856,20.1366,14.304942,8.691642
2.27,20.2257,7.483509,13.753476,5.08878612,20.2257,14.337909,8.724609
2.28,20.3148,7.516476,13.814064,5.11120368,20.3148,14.370876,8.757576
2.29,20.4039,7.549443,13.874652,5.13362124,20.4039,14.403843,8.790543
2.3,20.493,7.58241,13.93524,5.1560388,20.493,14.43681,8.82351
2.31,20.5821,7.615377,13.995828,5.17845636,20.5821,14.469777,8.856477
2.32,20.6712,7.648344,14.056416,5.20087392,20.6712,14.502744,8.889444
2.33,20.7603,7.681311,14.117004,5.22329148,20.7603,14.535711,8.922411
2.34,20.8494,7.714278,14.177592,5.24570904,20.8494,14.568678,8.955378
2.35,20.9385,7.747245,14.23818,5.2681266,20.9385,14.601645,8.988345
2.36,21.0276,7.780212,14.298768,5.29054416,21.0276,14.634612,9.02131199999999
2.37,21.1167,7.813179,14.359356,5.31296172,21.1167,14.667579,9.054279
2.38,21.2058,7.846146,14.419944,5.33537928,21.2058,14.700546,9.087246
2.39,21.2949,7.879113,14.480532,5.35779684,21.2949,14.733513,9.120213
2.4,21.384,7.91208,14.54112,5.3802144,21.384,14.76648,9.15318
2.41,21.4731,7.945047,14.601708,5.40263196,21.4731,14.799447,9.186147
2.42,21.5622,7.978014,14.662296,5.42504952,21.5622,14.832414,9.219114
2.43,21.6513,8.010981,14.722884,5.44746708,21.6513,14.865381,9.252081
2.44,21.7404,8.043948,14.783472,5.46988464,21.7404,14.898348,9.285048
2.45,21.8295,8.076915,14.84406,5.4923022,21.8295,14.931315,9.318015
2.46,21.9186,8.109882,14.904648,5.51471976,21.9186,14.964282,9.350982
2.47,22.0077,8.142849,14.965236,5.53713732,22.0077,14.997249,9.383949
2.48,22.0968,8.175816,15.025824,5.55955488,22.0968,15.030216,9.416916
2.49,22.1859,8.208783,15.086412,5.58197244,22.1859,15.063183,9.449883
2.5,22.275,8.24175,15.147,5.60439,22.275,15.09615,9.48284999999999
2.51,22.3641,8.274717,15.207588,5.62680756,22.3641,15.129117,9.515817
2.52,22.4532,8.307684,15.268176,5.64922512,22.4532,15.162084,9.548784
2.53,22.5423,8.340651,15.328764,5.67164268,22.5423,15.195051,9.581751
2.54,22.6314,8.373618,15.389352,5.69406024,22.6314,15.228018,9.614718
2.55,22.7205,8.406585,15.44994,5.7164778,22.7205,15.260985,9.647685
2.56,22.8096,8.439552,15.510528,5.73889536,22.8096,15.293952,9.680652
2.57,22.8987,8.472519,15.571116,5.76131292,22.8987,15.326919,9.713619
2.58,22.9878,8.505486,15.631704,5.78373048,22.9878,15.359886,9.746586
2.59,23.0769,8.538453,15.692292,5.80614804,23.0769,15.392853,9.779553
2.6,23.166,8.57142,15.75288,5.8285656,23.166,15.42582,9.81252
2.61,23.2551,8.604387,15.813468,5.85098316,23.2551,15.458787,9.845487
2.62,23.3442,8.637354,15.874056,5.87340072,23.3442,15.491754,9.878454
2.63,23.4333,8.670321,15.934644,5.89581828,23.4333,15.524721,9.911421
2.64,23.5224,8.703288,15.995232,5.91823584,23.5224,15.557688,9.944388
2.65,23.6115,8.736255,16.05582,5.9406534,23.6115,15.590655,9.97735499999999
2.66,23.7006,8.769222,16.116408,5.96307096,23.7006,15.623622,10.010322
2.67,23.7897,8.802189,16.176996,5.98548852,23.7897,15.656589,10.043289
2.68,23.8788,8.835156,16.237584,6.00790608,23.8788,15.689556,10.076256
2.69,23.9679,8.868123,16.298172,6.03032364,23.9679,15.722523,10.109223
2.7,24.057,8.90109,16.35876,6.0527412,24.057,15.75549,10.14219
2.71,24.1461,8.934057,16.419348,6.07515876,24.1461,15.788457,10.175157
2.72,24.2352,8.967024,16.479936,6.09757632,24.2352,15.821424,10.208124
2.73,24.3243,8.999991,16.540524,6.11999388,24.3243,15.854391,10.241091
2.74,24.4134,9.032958,16.601112,6.14241144,24.4134,15.887358,10.274058
2.75,24.5025,9.065925,16.6617,6.164829,24.5025,15.920325,10.307025
2.76,24.5916,9.098892,16.722288,6.18724656,24.5916,15.953292,10.339992
2.77,24.6807,9.131859,16.782876,6.20966412,24.6807,15.986259,10.372959
2.78,24.7698,9.164826,16.843464,6.23208168,24.7698,16.019226,10.405926
2.79,24.8589,9.197793,16.904052,6.25449924,24.8589,16.052193,10.438893
2.8,24.948,9.23076,16.96464,6.2769168,24.948,16.08516,10.47186
2.81,25.0371,9.263727,17.025228,6.29933436,25.0371,16.118127,10.504827
2.82,25.1262,9.296694,17.085816,6.32175192,25.1262,16.151094,10.537794
2.83,25.2153,9.329661,17.146404,6.34416948,25.2153,16.184061,10.570761
2.84,25.3044,9.362628,17.206992,6.36658704,25.3044,16.217028,10.603728
2.85,25.3935,9.395595,17.26758,6.3890046,25.3935,16.249995,10.636695
2.86,25.4826,9.428562,17.328168,6.41142216,25.4826,16.282962,10.669662
2.87,25.5717,9.461529,17.388756,6.43383972,25.5717,16.315929,10.702629
2.88,25.6608,9.494496,17.449344,6.45625728,25.6608,16.348896,10.735596
2.89,25.7499,9.527463,17.509932,6.47867484,25.7499,16.381863,10.768563
2.9,25.839,9.56043,17.57052,6.5010924,25.839,16.41483,10.80153
2.91,25.9281,9.593397,17.631108,6.52350996,25.9281,16.447797,10.834497
2.92,26.0172,9.626364,17.691696,6.54592752,26.0172,16.480764,10.867464
2.93,26.1063,9.659331,17.752284,6.56834508,26.1063,16.513731,10.900431
2.94,26.1954,9.692298,17.812872,6.59076264,26.1954,16.546698,10.933398
2.95,26.2845,9.725265,17.87346,6.6131802,26.2845,16.579665,10.966365
2.96,26.3736,9.758232,17.934048,6.63559776,26.3736,16.612632,10.999332
2.97,26.4627,9.791199,17.994636,6.65801532,26.4627,16.645599,11.032299
2.98,26.5518,9.824166,18.055224,6.68043288,26.5518,16.678566,11.065266
2.99,26.6409,9.857133,18.115812,6.70285044,26.6409,16.711533,11.098233
3,26.73,9.8901,18.1764,6.725268,26.73,16.7445,11.1312
3.01,26.8191,9.923067,18.236988,6.74768556,26.8191,16.777467,11.164167
3.02,26.9082,9.956034,18.297576,6.77010312,26.9082,16.810434,11.197134
3.03,26.9973,9.989001,18.358164,6.79252068,26.9973,16.843401,11.230101
3.04,27.0864,10.021968,18.418752,6.81493824,27.0864,16.876368,11.263068
3.05,27.1755,10.054935,18.47934,6.8373558,27.1755,16.909335,11.296035
3.06,27.2646,10.087902,18.539928,6.85977336,27.2646,16.942302,11.329002
3.07,27.3537,10.120869,18.600516,6.88219092,27.3537,16.975269,11.361969
3.08,27.4428,10.153836,18.661104,6.90460848,27.4428,17.008236,11.394936
3.09,27.5319,10.186803,18.721692,6.92702604,27.5319,17.041203,11.427903
3.1,27.621,10.21977,18.78228,6.9494436,27.621,17.07417,11.46087
3.11,27.7101,10.252737,18.842868,6.97186116,27.7101,17.107137,11.493837
3.12,27.7992,10.285704,18.903456,6.99427872,27.7992,17.140104,11.526804
3.13,27.8883,10.318671,18.964044,7.01669628,27.8883,17.173071,11.559771
3.14,27.9774,10.351638,19.024632,7.03911384,27.9774,17.206038,11.592738
3.15,28.0665,10.384605,19.08522,7.0615314,28.0665,17.239005,11.625705
3.16,28.1556,10.417572,19.145808,7.08394896,28.1556,17.271972,11.658672
3.17,28.2447,10.450539,19.206396,7.10636652,28.2447,17.304939,11.691639
3.18,28.3338,10.483506,19.266984,7.12878408,28.3338,17.337906,11.724606
3.19,28.4229,10.516473,19.327572,7.15120164,28.4229,17.370873,11.757573
3.2,28.512,10.54944,19.38816,7.1736192,28.512,17.40384,11.79054
3.21,28.6011,10.582407,19.448748,7.19603676,28.6011,17.436807,11.823507
3.22,28.6902,10.615374,19.509336,7.21845432,28.6902,17.469774,11.856474
3.23,28.7793,10.648341,19.569924,7.24087188,28.7793,17.502741,11.889441
3.24,28.8684,10.681308,19.630512,7.26328944,28.8684,17.535708,11.922408
3.25,28.9575,10.714275,19.6911,7.285707,28.9575,17.568675,11.955375
3.26,29.0466,10.747242,19.751688,7.30812456,29.0466,17.601642,11.988342
3.27,29.1357,10.780209,19.812276,7.33054212,29.1357,17.634609,12.021309
3.28,29.2248,10.813176,19.872864,7.35295968,29.2248,17.667576,12.054276
3.29,29.3139,10.846143,19.933452,7.37537724,29.3139,17.700543,12.087243
3.3,29.403,10.87911,19.99404,7.3977948,29.403,17.73351,12.12021
3.31,29.4921,10.912077,20.054628,7.42021236,29.4921,17.766477,12.153177
3.32,29.5812,10.945044,20.115216,7.44262992,29.5812,17.799444,12.186144
3.33,29.6703,10.978011,20.175804,7.46504748,29.6703,17.832411,12.219111
3.34,29.7594,11.010978,20.236392,7.48746504,29.7594,17.865378,12.252078
3.35,29.8485,11.043945,20.29698,7.5098826,29.8485,17.898345,12.285045
3.36,29.9376,11.076912,20.357568,7.53230016,29.9376,17.931312,12.318012
3.37,30.0267,11.109879,20.418156,7.55471772,30.0267,17.964279,12.350979
3.38,30.1158,11.142846,20.478744,7.57713528,30.1158,17.997246,12.383946
3.39,30.2049,11.175813,20.539332,7.59955284,30.2049,18.030213,12.416913
3.4,30.294,11.20878,20.59992,7.6219704,30.294,18.06318,12.44988
3.41,30.3831,11.241747,20.660508,7.64438796,30.3831,18.096147,12.482847
3.42,30.4722,11.274714,20.721096,7.66680552,30.4722,18.129114,12.515814
3.43,30.5613,11.307681,20.781684,7.68922308,30.5613,18.162081,12.548781
3.44,30.6504,11.340648,20.842272,7.71164064,30.6504,18.195048,12.581748
3.45,30.7395,11.373615,20.90286,7.7340582,30.7395,18.228015,12.614715
3.46,30.8286,11.406582,20.963448,7.75647576,30.8286,18.260982,12.647682
3.47,30.9177,11.439549,21.024036,7.77889332,30.9177,18.293949,12.680649
3.48,31.0068,11.472516,21.084624,7.80131088,31.0068,18.326916,12.713616
3.49,31.0959,11.505483,21.145212,7.82372844,31.0959,18.359883,12.746583
3.5,31.185,11.53845,21.2058,7.846146,31.185,18.39285,12.77955
3.51,31.2741,11.571417,21.266388,7.86856356,31.2741,18.425817,12.812517
3.52,31.3632,11.604384,21.326976,7.89098112,31.3632,18.458784,12.845484
3.53,31.4523,11.637351,21.387564,7.91339868,31.4523,18.491751,12.878451
3.54,31.5414,11.670318,21.448152,7.93581624,31.5414,18.524718,12.911418
3.55,31.6305,11.703285,21.50874,7.9582338,31.6305,18.557685,12.944385
3.56,31.7196,11.736252,21.569328,7.98065136,31.7196,18.590652,12.977352
3.57,31.8087,11.769219,21.629916,8.00306892,31.8087,18.623619,13.010319
3.58,31.8978,11.802186,21.690504,8.02548648,31.8978,18.656586,13.043286
3.59,31.9869,11.835153,21.751092,8.04790404,31.9869,18.689553,13.076253
3.6,32.076,11.86812,21.81168,8.0703216,32.076,18.72252,13.10922
3.61,32.1651,11.901087,21.872268,8.09273916,32.1651,18.755487,13.142187
3.62,32.2542,11.934054,21.932856,8.11515672,32.2542,18.788454,13.175154
3.63,32.3433,11.967021,21.993444,8.13757428,32.3433,18.821421,13.208121
3.64,32.4324,11.999988,22.054032,8.15999184,32.4324,18.854388,13.241088
3.65,32.5215,12.032955,22.11462,8.1824094,32.5215,18.887355,13.274055
3.66,32.6106,12.065922,22.175208,8.20482696,32.6106,18.920322,13.307022
3.67,32.6997,12.098889,22.235796,8.22724452,32.6997,18.953289,13.339989
3.68,32.7888,12.131856,22.296384,8.24966208,32.7888,18.986256,13.372956
3.69,32.8779,12.164823,22.356972,8.27207964,32.8779,19.019223,13.405923
3.7,32.967,12.19779,22.41756,8.2944972,32.967,19.05219,13.43889
3.71,33.0561,12.230757,22.478148,8.31691476,33.0561,19.085157,13.471857
3.72,33.1452,12.263724,22.538736,8.33933232,33.1452,19.118124,13.504824
3.73,33.2343,12.296691,22.599324,8.36174988,33.2343,19.151091,13.537791
3.74,33.3234,12.329658,22.659912,8.38416744,33.3234,19.184058,13.570758
